canton,nom_clean,type,lits,lat,lon,ofs,commune,geo_source
Vaud,Quatre Saisons,EMS,20.0,46.415321350097656,6.2693939208984375,5721,Gland,search.ch
Vaud,Echallens,EMS,53.0,46.64118576049805,6.633621692657471,5518,Echallens,search.ch
Vaud,Tilleul,EMS,60.0,46.533790588378906,6.607405185699463,5589,Prilly,search.ch
Vaud,Marronnier,EMS,56.0,46.66985702514648,6.797632217407227,5678,Moudon,search.ch
Vaud,Metamorphose,EMS,60.0,46.60257339477539,6.564142227172852,5472,Bournens,search.ch
Vaud,Blecherette,EMS,60.0,46.54319381713867,6.626293182373047,5587,Le Mont-sur-Lausanne,search.ch
Vaud,Laurelles,EMS,33.0,46.42316436767578,6.9264373779296875,5886,Montreux,search.ch
Vaud,Renaissance Le Parc,EMS,30.0,46.52238082885742,6.508686065673828,5638,Lonay,search.ch
Vaud,Phare Elim,EMS,46.0,46.4518224,6.8609663,5889,La Tour-de-Peilz,OSM
Vaud,Berges Leman,EMS,35.0,46.90673065185547,7.044142246246338,5451,Avenches,adresse
Vaud,Maurice Bugnon,EMS,92.0,46.22048568725586,7.005281448364258,5402,Bex,adresse
Vaud,Leman,EMS,46.0,46.318359375,6.896126747131348,5415,Yvorne,adresse
Vaud,Gambetta,EMS,45.0,46.44069290161133,6.895810604095459,5886,Montreux,adresse
Vaud,Meillerie,EMS,26.0,46.513571,6.6386538,5586,Lausanne,OSM
Vaud,Byron,EMS,42.0,46.40200424194336,6.927892684936523,5414,Villeneuve (VD),adresse
Vaud,Parc Valency,EMS,20.0,46.527130126953125,6.615554332733154,5586,Lausanne,adresse
Vaud,Jardins Plaine,EMS,61.0,46.18474197387695,6.008272171020508,5723,Mies,adresse
Vaud,Gracieuse Non Rip,EMS,41.0,46.62034225463867,7.14158821105957,5843,Rougemont,adresse
Vaud,Tremieres,EMS,28.0,46.605716705322266,6.4516425132751465,5475,Chavannes-le-Veyron,adresse
Vaud,Grande Fontaine,EMS,84.0,46.58518600463867,6.506763458251953,5484,Gollion,adresse
Vaud,Pre Pariset,EMS,82.0,,,5590,Pully,manuel
Vaud,Odysse,EMS,53.0,,,,,
Vaud,Palmiers,EMS,43.0,,,,,
Vaud,Paix Du Soir Spah,EMS,30.0,46.494266510009766,6.716559410095215,5613,Bourg-en-Lavaux,adresse
Vaud,Pacific Convention Rslc,EMS,80.0,,,,,
Vaud,Nova Vita Non Rip,EMS,12.0,46.4308142,6.9098476,5886,Montreux,OSM
Vaud,Pre De La Tour,EMS,50.0,46.51179504394531,6.658667087554932,5590,Pully,adresse
Vaud,Sauvabelin,EMS,56.0,46.54972457885742,6.636134624481201,5587,Le Mont-sur-Lausanne,adresse
Vaud,Rozavere Spah,EMS,30.0,46.5298349,6.6550918,5586,Lausanne,OSM
Vaud,Oree,EMS,64.0,46.6614875793457,7.107809543609619,5843,Rougemont,adresse
Vaud,Cottier Boys,EMS,29.0,46.47527694702149,6.897104263305664,5892,Blonay - Saint-Légier,adresse
Vaud,Pins,EMS,60.0,46.419090270996094,6.270072937011719,5721,Gland,adresse
Vaud,Lusiades Jbc,EMS,29.0,,,,,
Vaud,Montbrillant,EMS,37.0,,,,,
Vaud,Etoile Matin,EMS,20.0,46.4844444,6.8478271,5885,Jongny,OSM
Vaud,Pergolas,EMS,30.0,,,,,
Vaud,Orme,EMS,100.0,46.25149917602539,7.013433456420898,5402,Bex,adresse
Vaud,Bru,EMS,20.0,,,,,
Vaud,Home,EMS,31.0,,,,,
Vaud,Clef Champs,EMS,50.0,,,,,
Vaud,Girarde,EMS,62.0,46.5498452,6.674802,5584,Epalinges,OSM
Vaud,Novalles Jbc,EMS,21.0,46.825252532958984,6.600762367248535,5564,Novalles,adresse
Vaud,Douvaz,EMS,32.0,46.84916305541992,6.618679046630859,5571,Tévenon,adresse
Vaud,Eaudine,EMS,50.0,46.42319107055664,6.925790786743164,5886,Montreux,adresse
Vaud,Victoria,EMS,30.0,46.298973083496094,7.056268215179443,5409,Ollon,adresse
Vaud,Mont-Riant,EMS,56.0,,,,,
Vaud,Oriel,EMS,37.0,,,5591,Renens (VD),manuel
Vaud,Meridienne,EMS,14.0,,,5591,Renens (VD),manuel
Vaud,La Sarraz,EMS,32.0,46.653289794921875,6.5119452476501465,5498,La Sarraz,adresse
Vaud,Lys,EMS,66.0,,,5589,Prilly,manuel
Vaud,Ours,EMS,40.0,46.4738487,7.1299573,5841,Château-d'Oex,OSM
Vaud,Donatella Mauri,EMS,57.0,46.5615972,6.6015465,5592,Romanel-sur-Lausanne,OSM
Vaud,Bourg,EMS,46.0,46.656856536865234,6.8082733154296875,5665,Chavannes-sur-Moudon,adresse
Vaud,Prerisa,EMS,44.0,46.70362091064453,6.837488174438477,5675,Lucens,adresse
Vaud,Flon,EMS,24.0,46.5927734375,6.862234115600586,5805,Oron,adresse
Vaud,Pre Fleuri,EMS,53.0,46.4518224,6.8609663,5889,La Tour-de-Peilz,OSM
Vaud,Rosiere,EMS,76.0,46.5298349,6.6550918,5586,Lausanne,OSM
Vaud,Hopital Lavaux,EMS,32.0,46.4905264,6.7253543,5613,Bourg-en-Lavaux,OSM
Vaud,Sams Silo,EMS,30.0,46.5337028503418,6.583981037139893,5591,Renens (VD),adresse
Vaud,Montchoisi,EMS,84.0,46.794532775878906,6.750093460083008,5939,Yvonand,adresse
Vaud,Bethanie,EMS,120.0,46.82575988769531,6.807598114013672,5928,Rovray,adresse
Vaud,Plein Soleil,EMS,70.0,,,5586,Lausanne,manuel
Vaud,Maison Des Bosquets,EMS,129.0,46.4838714,6.8355605,5882,Chardonne,OSM
Vaud,Colline,EMS,101.0,46.4799699,6.7770253,5601,Chexbres,OSM
Vaud,Clairiere,EMS,74.0,46.54716491699219,6.583223342895508,5583,Crissier,adresse
Vaud,Contesse,EMS,36.0,,,,,
Vaud,Clair Vully,EMS,48.0,46.54344940185547,6.580013751983643,5583,Crissier,adresse
Vaud,Bugnon,EMS,56.0,,,,,
Vaud,Silo,EMS,108.0,46.5337028503418,6.583981037139893,5591,Renens (VD),adresse
Vaud,Goumoens,EMS,56.0,46.65887451171875,6.602913856506348,5541,Goumoëns,adresse
Vaud,Home Salem,EMS,97.0,46.60121154785156,7.105752944946289,5841,Château-d'Oex,adresse
Vaud,Gentianes,EMS,50.0,46.18994140625,6.843666076660156,5402,Bex,adresse
Vaud,Bellevue,EMS,68.0,46.91902923583984,6.783768653869629,5566,Provence,adresse
Vaud,Veillee,EMS,37.0,46.513571,6.6386538,5586,Lausanne,OSM
