ofs,nom,canton,district,revenu_median_est,part_haut_revenu,nb_contribuables,coefficient,fortune_moy_chf,revenu_norm,coeff_norm,indice_pouvoir_achat
5483,Ferreyres,Vaud,Morges,68581.0,31.0,155.0,76.0,471789.0,63.49021844021405,81.08108108108108,41.2
5464,Vully-les-Lacs,Vaud,Broye-Vully,57490.0,20.6,1975.0,67.0,149121.0,39.165716290902715,56.75675675675676,41.2
2147,Pont-la-Ville,Fribourg,La Gruyère,60417.0,24.7,344.0,75.0,,45.58513904728485,63.23529411764706,41.2
2235,La Sonnaz,Fribourg,La Sarine,60779.0,22.8,720.0,76.0,,46.379068339328015,64.70588235294117,40.8
2295,Bösingen,Fribourg,Sense,60637.0,20.2,1892.0,76.0,,46.06763751206246,64.70588235294117,40.7
5727,Saint-Cergue,Vaud,Nyon,55726.0,22.4,1436.0,66.0,601453.0,35.29695587332222,54.054054054054056,40.6
5520,Essertines-sur-Yverdon,Vaud,Gros-de-Vaud,63032.0,23.9,569.0,72.0,264755.0,51.32029125361874,70.27027027027027,40.5
2140,Marsens,Fribourg,La Gruyère,59494.0,23.6,1094.0,75.0,,43.56083867005878,63.23529411764706,40.2
5611,Savigny,Vaud,Lavaux-Oron,58818.0,25.0,1805.0,69.0,563599.0,42.07825247828757,62.16216216216216,40.0
5748,Bretonnières,Vaud,Jura-Nord vaudois,58872.0,21.8,142.0,69.0,180436.0,42.196683919642076,62.16216216216216,40.0
5477,Cossonay,Vaud,Morges,55190.0,18.9,2411.0,66.0,471789.0,34.12141415913676,54.054054054054056,40.0
2262,Gurmels,Fribourg,See,62567.0,22.6,2411.0,80.0,,50.30046495306606,70.58823529411765,39.9
5533,Poliez-Pittet,Vaud,Gros-de-Vaud,63707.0,23.5,451.0,73.0,264755.0,52.80068427055005,72.97297297297297,39.9
2250,Courgevaux,Fribourg,See,59817.0,22.9,730.0,76.0,,44.26923414334591,64.70588235294117,39.8
5690,Villars-le-Comte,Vaud,Broye-Vully,57354.0,20.7,82.0,68.0,149121.0,38.86744451267655,59.45945945945946,39.7
5889,La Tour-de-Peilz,Vaud,Riviera-Pays-d'Enhaut,52297.0,18.5,6826.0,64.0,337178.0,27.77655934731117,48.64864864864865,39.6
5435,Saint-Livres,Vaud,Morges,58399.0,25.5,369.0,69.0,471789.0,41.15931222037021,62.16216216216216,39.5
5688,Syens,Vaud,Broye-Vully,53501.0,11.8,93.0,65.0,149121.0,30.417141854548646,51.35135135135135,39.5
5514,Bottens,Vaud,Gros-de-Vaud,62577.0,23.4,721.0,72.5,264755.0,50.322396701465046,71.62162162162163,39.4
6624,Gy,Genève,Genève,66667.0,35.3,238.0,46.0,,59.29248179664883,80.76923076923077,39.3
6638,Satigny,Genève,Genève,54395.0,25.0,2094.0,39.0,,32.37784016141767,53.84615384615385,39.3
5540,Montilliez,Vaud,Gros-de-Vaud,62399.0,24.7,1040.0,72.5,264755.0,49.93201157996315,71.62162162162163,39.2
5763,Valeyres-sous-Rances,Vaud,Jura-Nord vaudois,60561.0,23.2,319.0,71.0,180436.0,45.90095622423019,67.56756756756756,39.2
5422,Aubonne,Vaud,Morges,56933.0,25.0,1859.0,68.0,471789.0,37.944117905079395,59.45945945945946,39.2
5635,Ecublens (VD),Vaud,Ouest lausannois,49986.0,16.0,6054.0,62.5,188994.0,22.708132292306342,44.5945945945946,39.1
5499,Senarclens,Vaud,Morges,57144.0,27.1,258.0,68.5,471789.0,38.40687779629792,60.810810810810814,38.8
