ofs,nom,district,note_pouvoir_achat,note_population,note_tension_ems,indice_pouvoir_achat,pop_80plus,pop_zone_80plus,part_80plus,dist_ems_km,lits_pour_100_district,prix_m2_appart,prix_fiabilite
2134,Grandvillard,La Gruyère,1.66,1.2,1.3,33.2,37.0,827,4.1,3.4,20.0,,
2143,Morlon,La Gruyère,1.5,2.39,1.24,30.0,30.0,2521,3.9,2.83,20.0,,
2206,Marly,La Sarine,1.03,3.38,1.23,20.6,576.0,6390,6.2,0.62,19.1,,
2238,Bois-d'Amont,La Sarine,1.66,3.26,1.48,33.1,97.0,5704,4.0,2.94,19.1,,
2271,Meyriez,See,3.23,2.34,2.54,64.6,39.0,2413,6.9,3.39,15.1,,
5407,Leysin,Aigle,0.55,2.06,0.13,10.9,139.0,1853,3.8,1.21,23.7,6389.0,indicative (1-4)
5437,Saubraz,Morges,1.48,2.28,4.38,29.7,9.0,2275,2.0,5.77,8.8,8120.0,estimé (voisinage)
5475,Chavannes-le-Veyron,Morges,1.89,2.16,3.8,37.8,1.0,2030,0.6,0.5,8.8,6353.0,estimé (voisinage)
5514,Bottens,Gros-de-Vaud,1.97,3.12,2.84,39.4,44.0,4995,3.2,3.63,14.0,6946.0,estimé (voisinage)
5554,Concise,Jura-Nord vaudois,1.76,1.71,1.94,35.1,34.0,1330,3.3,2.37,17.0,7075.0,annonces (surface estimée)
5571,Tévenon,Jura-Nord vaudois,1.8,1.0,1.91,35.9,56.0,685,6.5,2.08,17.0,7977.0,indicative (1-4)
5655,Yens,Morges,2.41,2.84,4.14,48.2,68.0,3849,4.5,3.57,8.8,9944.0,estimé (voisinage)
5674,Lovatens,Broye-Vully,1.07,2.08,1.96,21.4,6.0,1886,4.1,2.52,17.0,8077.0,estimé (voisinage)
5756,Montcherand,Jura-Nord vaudois,2.06,1.8,1.97,41.2,17.0,1447,3.5,2.6,17.0,6832.0,estimé (voisinage)
5933,Valeyres-sous-Montagny,Jura-Nord vaudois,1.91,2.77,1.76,38.3,39.0,3617,5.5,0.61,17.0,10385.0,solide (5+)
6610,Céligny,Genève,2.08,3.11,3.34,41.7,38.0,4963,4.4,4.56,12.4,12763.0,indicative (1-4)
2055,Cheyres-Châbles,La Broye,2.19,1.84,2.5,43.8,101.0,1512,4.1,1.69,14.5,,
2137,Hauteville,La Gruyère,1.64,2.48,1.14,32.9,20.0,2739,2.7,1.98,20.0,,
2174,Avry,La Sarine,2.2,3.22,1.38,44.0,76.0,5497,3.9,2.08,19.1,,
2237,Prez,La Sarine,1.81,2.68,1.64,36.2,83.0,3319,3.4,4.35,19.1,,
2333,Remaufens,La Veveyse,1.58,2.58,1.2,31.6,24.0,3028,1.7,1.53,19.6,,
2113,Vuisternens-devant-Romont,La Glâne,1.19,2.58,1.5,23.8,115.0,3016,4.8,5.63,20.2,,
2152,Sâles,La Gruyère,1.34,2.53,1.42,26.8,50.0,2878,3.4,4.52,20.0,,
5471,Bettens,Gros-de-Vaud,2.27,3.38,2.72,45.4,11.0,6405,1.7,2.54,14.0,5690.0,estimé (voisinage)
5479,Cuarnens,Morges,1.54,2.04,4.04,30.7,18.0,1826,3.2,2.69,8.8,5350.0,indicative (1-4)
5521,Etagnières,Gros-de-Vaud,1.92,4.27,2.73,38.4,52.0,14647,4.4,2.63,14.0,7980.0,estimé (voisinage)
5582,Cheseaux-sur-Lausanne,Lausanne,1.79,4.3,2.14,35.8,265.0,15049,5.5,0.94,15.6,7980.0,annonces (surface estimée)
5604,Forel (Lavaux),Lavaux-Oron,2.09,4.18,3.7,41.8,96.0,13462,4.6,0.73,9.3,7274.0,annonces (surface estimée)
5651,Villars-Sainte-Croix,Ouest lausannois,2.96,4.4,1.7,59.3,38.0,16566,4.0,2.72,18.1,8935.0,indicative (1-4)
5652,Villars-sous-Yens,Morges,1.84,2.95,4.33,36.8,28.0,4262,4.7,5.3,8.8,12914.0,annonces (surface estimée)
5712,Coppet,Nyon,3.34,3.16,3.62,66.7,194.0,5182,6.0,3.82,11.0,26533.0,indicative (1-4)
5724,Nyon,Nyon,2.49,2.86,3.23,49.8,1167.0,3917,5.0,0.31,11.0,10987.0,solide (5+)
5725,Prangins,Nyon,3.21,2.86,3.42,64.2,242.0,3924,5.7,2.09,11.0,10411.0,indicative (1-4)
5755,Lignerolle,Jura-Nord vaudois,1.42,1.83,2.51,28.5,17.0,1494,3.7,7.57,17.0,7420.0,indicative (1-4)
5757,Orbe,Jura-Nord vaudois,1.1,2.71,1.77,22.1,398.0,3391,5.0,0.77,17.0,6832.0,solide (5+)
