ofs,nom,district,dist_ems_km,pop_totale,pop_80plus,part_80plus,indice_pouvoir_achat,prix_m2_appart,prix_fiabilite,lits_pour_100_district,demande_score,tension_score,pouvoir_achat_score,prix_bas_score
2086,Massonnens,La Glâne,5.4,596.0,17.0,2.9,23.4,,,20.2,24.8,29.4,23.4,
2147,Pont-la-Ville,La Gruyère,3.41,606.0,21.0,3.5,41.2,,,20.0,29.9,26.1,41.2,
2149,La Roche,La Gruyère,0.66,1959.0,73.0,3.7,25.8,,,20.0,31.6,20.1,25.8,
2155,Vaulruz,La Gruyère,3.02,1130.0,59.0,5.2,33.8,,,20.0,44.4,25.2,33.8,
2294,Giffers,Sense,1.28,1703.0,87.0,5.1,28.1,,,14.4,43.6,49.6,28.1,
2306,Tafers,Sense,1.83,8026.0,464.0,5.8,37.9,,,14.4,49.6,50.8,37.9,
2307,Tentlingen,Sense,1.06,1382.0,79.0,5.7,28.1,,,14.4,48.7,49.1,28.1,
2321,Attalens,La Veveyse,1.65,3693.0,139.0,3.8,38.1,,,19.6,32.5,24.2,38.1,
5427,Féchy,Morges,4.55,923.0,35.0,3.8,62.0,19032.0,annonces (surface estimée),8.8,32.5,84.9,62.0,32.7
5531,Penthéréaz,Gros-de-Vaud,2.68,430.0,14.0,3.3,31.9,4146.0,estimé (voisinage),14.0,28.2,54.7,31.9,97.6
5556,Fiez,Jura-Nord vaudois,3.11,432.0,18.0,4.2,34.9,7977.0,estimé (voisinage),17.0,35.9,40.5,34.9,80.9
5566,Provence,Jura-Nord vaudois,4.59,409.0,31.0,7.6,7.6,7905.0,estimé (voisinage),17.0,65.0,43.7,7.6,81.2
5613,Bourg-en-Lavaux,Lavaux-Oron,1.14,5464.0,339.0,6.2,55.2,15509.0,solide (5+),9.3,53.0,75.0,55.2,48.1
5627,Chavannes-près-Renens,Ouest lausannois,0.85,9774.0,272.0,2.8,16.1,11420.0,estimé (voisinage),18.1,23.9,30.0,16.1,65.9
5684,Rossenges,Broye-Vully,2.45,91.0,9.0,9.9,45.1,5865.0,estimé (voisinage),17.0,84.6,39.1,45.1,90.1
5785,Corcelles-le-Jorat,Broye-Vully,3.69,499.0,21.0,4.2,26.1,7567.0,annonces (surface estimée),17.0,35.9,41.8,26.1,82.7
5929,Suchy,Jura-Nord vaudois,5.07,663.0,12.0,1.8,43.0,7704.0,indicative (1-4),17.0,15.4,44.8,43.0,82.1
5402,Bex,Aigle,5.44,8841.0,495.0,5.6,21.3,7468.0,solide (5+),23.7,47.9,11.9,21.3,83.2
5424,Berolle,Morges,7.95,303.0,13.0,4.3,26.4,8969.0,estimé (voisinage),8.8,36.8,92.4,26.4,76.6
5426,Bougy-Villars,Morges,3.27,514.0,25.0,4.9,51.2,7450.0,indicative (1-4),8.8,41.9,82.1,51.2,83.2
5609,Rivaz,Lavaux-Oron,2.45,329.0,38.0,11.6,47.6,7857.0,annonces (surface estimée),9.3,99.1,77.8,47.6,81.5
5702,Arzier-Le Muids,Nyon,11.45,2968.0,97.0,3.3,45.1,13456.0,indicative (1-4),11.0,28.2,88.9,45.1,57.0
5730,Trélex,Nyon,3.85,1426.0,75.0,5.3,69.4,6892.0,indicative (1-4),11.0,45.3,72.3,69.4,85.7
5873,Le Lieu,Jura-Nord vaudois,7.1,918.0,60.0,6.5,31.8,6253.0,estimé (voisinage),17.0,55.6,49.2,31.8,88.5
5930,Suscévaz,Jura-Nord vaudois,4.33,234.0,10.0,4.3,36.3,5986.0,estimé (voisinage),17.0,36.8,43.2,36.3,89.6
5934,Valeyres-sous-Ursins,Jura-Nord vaudois,3.27,235.0,18.0,7.7,25.0,7936.0,annonces (surface estimée),17.0,65.8,40.9,25.0,81.1
6607,Bernex,Genève,1.11,11112.0,713.0,6.4,27.1,,,12.4,54.7,59.3,27.1,
6627,Laconnex,Genève,1.85,704.0,45.0,6.4,44.4,,,12.4,54.7,60.9,44.4,
2239,Grolley-Ponthaux,La Sarine,5.68,,,,,,,19.1,,35.6,,
2274,Muntelier,See,1.61,982.0,57.0,5.8,61.9,,,15.1,49.6,46.8,61.9,
2173,Autigny,La Sarine,1.5,840.0,22.0,2.6,24.4,,,19.1,22.2,26.4,24.4,
2053,Belmont-Broye,La Broye,4.29,6148.0,202.0,3.3,31.6,,,14.5,28.2,55.7,31.6,
2122,Pont-en-Ogoz,La Gruyère,3.6,2038.0,81.0,4.0,38.2,,,20.0,34.2,26.5,38.2,
2226,Treyvaux,La Sarine,3.1,1642.0,77.0,4.7,31.7,,,19.1,40.2,29.9,31.7,
5512,Bercher,Gros-de-Vaud,0.31,1344.0,62.0,4.6,23.7,8067.0,estimé (voisinage),14.0,39.3,49.5,23.7,80.5
5527,Morrens (VD),Gros-de-Vaud,2.41,1155.0,60.0,5.2,34.9,7895.0,annonces (surface estimée),14.0,44.4,54.1,34.9,81.3
5530,Pailly,Gros-de-Vaud,2.7,575.0,18.0,3.1,38.7,9225.0,indicative (1-4),14.0,26.5,54.7,38.7,75.5
5534,Rueyres,Gros-de-Vaud,1.28,304.0,17.0,5.6,32.0,8067.0,indicative (1-4),14.0,47.9,51.6,32.0,80.5
5539,Vuarrens,Gros-de-Vaud,4.35,1119.0,26.0,2.3,36.3,7259.0,annonces (surface estimée),14.0,19.7,58.3,36.3,84.1
5671,Dompierre (VD),Broye-Vully,2.83,240.0,9.0,3.8,29.4,9166.0,annonces (surface estimée),17.0,32.5,39.9,29.4,75.7
5765,Vaulion,Jura-Nord vaudois,7.55,488.0,13.0,2.7,12.5,6253.0,estimé (voisinage),17.0,23.1,50.2,12.5,88.5
5799,Servion,Lavaux-Oron,1.14,2228.0,90.0,4.0,43.9,8845.0,solide (5+),9.3,34.2,75.0,43.9,77.1
5884,Corsier-sur-Vevey,Riviera-Pays-d'Enhaut,2.1,3385.0,212.0,6.3,34.2,10936.0,indicative (1-4),17.4,53.8,36.3,34.2,68.0
5912,Démoret,Jura-Nord vaudois,5.22,173.0,9.0,5.2,16.1,6551.0,estimé (voisinage),17.0,44.4,45.1,16.1,87.2
5922,Montagny-près-Yverdon,Jura-Nord vaudois,0.96,780.0,37.0,4.7,46.4,3967.0,indicative (1-4),17.0,40.2,35.8,46.4,98.4
6622,Genthod,Genève,0.9,2861.0,166.0,5.8,64.5,,,12.4,49.6,58.8,64.5,
6629,Meinier,Genève,2.69,2069.0,153.0,7.4,37.4,,,12.4,63.2,62.8,37.4,
5414,Villeneuve (VD),Aigle,3.15,6039.0,299.0,5.0,27.4,11105.0,indicative (1-4),23.7,42.7,6.9,27.4,67.3
5451,Avenches,Broye-Vully,0.28,4875.0,227.0,4.7,32.3,5493.0,annonces (surface estimée),17.0,40.2,34.3,32.3,91.8
5501,Sullens,Gros-de-Vaud,1.29,1226.0,56.0,4.6,55.5,6152.0,annonces (surface estimée),14.0,39.3,51.6,55.5,88.9
5535,Saint-Barthélemy (VD),Gros-de-Vaud,2.51,834.0,26.0,3.1,26.7,5690.0,annonces (surface estimée),14.0,26.5,54.3,26.7,90.9
5563,Mutrux,Jura-Nord vaudois,4.14,145.0,8.0,5.5,11.1,6459.0,annonces (surface estimée),17.0,47.0,42.8,11.1,87.6
5581,Belmont-sur-Lausanne,Lavaux-Oron,2.05,3915.0,176.0,4.5,45.2,10622.0,solide (5+),9.3,38.5,77.0,45.2,69.4
5648,Saint-Sulpice (VD),Ouest lausannois,4.17,5155.0,303.0,5.9,72.6,12443.0,indicative (1-4),18.1,50.4,37.3,72.6,61.5
